City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fort nelson,58.8053,-122.7002,-7.25,76,100,0.45,CA,1675984544
1,atuona,-9.8,-139.0333,26.21,77,17,9.7,PF,1675984824
2,mogadishu,2.0371,45.3438,25.13,84,9,6.98,SO,1675984775
3,pavilosta,56.8879,21.1859,2.95,81,96,12.73,LV,1675984824
4,carnarvon,-24.8667,113.6333,25.21,78,87,8.27,AU,1675984770
5,sao joao da barra,-21.6403,-41.0511,25.05,90,88,3.31,BR,1675984826
6,jamestown,42.097,-79.2353,14.77,77,100,4.12,US,1675984827
7,torbay,47.6666,-52.7314,-6.35,83,100,7.2,CA,1675984670
8,meulaboh,4.1363,96.1285,24.34,89,90,2.0,ID,1675984828
9,butaritari,3.0707,172.7902,27.0,82,93,8.52,KI,1675984828
10,barrow,71.2906,-156.7887,-27.99,76,100,2.06,US,1675984663
11,los llanos de aridane,28.6585,-17.9182,13.4,82,75,1.54,ES,1675984829
12,mchinji,-13.7984,32.8802,17.43,95,72,1.68,MW,1675984830
13,arraial do cabo,-22.9661,-42.0278,24.98,83,0,2.06,BR,1675984830
14,mataura,-46.1927,168.8643,15.82,40,65,1.55,NZ,1675984831
15,mar del plata,-38.0023,-57.5575,23.38,88,20,3.6,AR,1675984831
16,kapaa,22.0752,-159.319,23.18,87,75,10.8,US,1675984832
17,beloha,-25.1667,45.05,23.93,79,63,2.31,MG,1675984832
18,ukiah,39.1502,-123.2078,21.91,33,0,0.0,US,1675984833
19,bambous virieux,-20.3428,57.7575,26.14,78,75,3.6,MU,1675984833
20,babayurt,43.6002,46.7789,-14.93,98,52,0.91,RU,1675984833
21,ushuaia,-54.8,-68.3,13.81,44,40,4.12,AR,1675984834
22,rikitea,-23.1203,-134.9692,26.83,73,31,8.87,PF,1675984829
23,pingzhuang,42.0372,119.2889,-6.46,80,1,0.99,CN,1675984834
24,cape town,-33.9258,18.4232,21.26,75,0,6.69,ZA,1675984764
25,lebu,-37.6167,-73.65,17.5,84,2,3.92,CL,1675984835
26,pasewalk,53.5063,13.99,1.04,71,91,4.94,DE,1675984835
27,zlitan,32.4674,14.5687,13.57,58,61,10.32,LY,1675984836
28,hobart,-42.8794,147.3294,16.81,93,75,1.54,AU,1675984836
29,luderitz,-26.6481,15.1594,17.75,91,10,3.98,NA,1675984836
30,albany,42.6001,-73.9662,6.99,79,100,1.79,US,1675984589
31,kimbe,-5.5502,150.1429,25.89,91,100,4.5,PG,1675984837
32,makaleng,-20.9,27.2833,19.16,89,100,2.96,BW,1675984837
33,havre-saint-pierre,50.2334,-63.5986,-10.0,56,0,6.17,CA,1675984837
34,mercedes,-34.6515,-59.4307,30.44,21,0,3.07,AR,1675984839
35,new norfolk,-42.7826,147.0587,16.62,82,100,0.37,AU,1675984839
36,thompson,55.7435,-97.8558,-17.91,78,0,0.0,CA,1675984840
37,port macquarie,-31.4333,152.9167,26.05,71,16,1.88,AU,1675984841
38,gurlan,41.8447,60.3919,-9.05,70,6,2.33,UZ,1675984841
39,khatanga,71.9667,102.5,-44.44,99,42,1.73,RU,1675984842
40,punta arenas,-53.15,-70.9167,11.06,82,100,4.63,CL,1675984576
41,narsaq,60.9167,-46.05,-5.88,96,100,0.64,GL,1675984842
42,east london,-33.0153,27.9116,20.28,87,100,2.12,ZA,1675984843
